seed,feature_group,mask_type,strength,high_density_flip_rate,low_density_flip_rate,delta_flip_density,flip_density_ratio
2024,header,random,0.1,0.07581816969939346,0.20686666666666667,0.13104849696727322,2.72845767032967
2024,imports,important,0.01,0.019157088122605363,0.052389522095580884,0.033232433972975525,2.734733053389322
2024,imports,important,0.05,0.06802446729851448,0.10537892421515697,0.03735445691664249,1.54913266358586
2024,imports,important,0.1,0.11225381461316125,0.14937012597480503,0.03711631136164378,1.3306463258246555
2024,imports,random,0.01,0.000336089265308866,0.009564753715923482,0.009228664450614616,28.458968206358733
2024,imports,random,0.05,0.0029575855347180207,0.03099380123975205,0.028036215705034027,10.479426841904347
2024,imports,random,0.1,0.005399834195962448,0.055822168899553416,0.05042233470359097,10.337756100232234
2024,section,important,0.01,0.0939,0.1834,0.08950000000000001,1.9531416400425987
2024,section,important,0.05,0.1114,0.2353,0.12390000000000001,2.112208258527828
2024,section,important,0.1,0.1218,0.2514,0.1296,2.064039408866995
2024,section,random,0.01,0.08390000000000002,0.035866666666666665,-0.04803333333333335,0.42749304727850607
2024,section,random,0.05,0.022099999999999998,0.047066666666666666,0.024966666666666668,2.129713423831071
2024,section,random,0.1,0.0341,0.071,0.036899999999999995,2.0821114369501466
2024,strings,important,0.01,0.0636,0.0421,-0.021500000000000005,0.6619496855345911
2024,strings,important,0.05,0.6034,0.5539,-0.0495000000000001,0.9179648657606893
2024,strings,important,0.1,0.6613,0.5552,-0.10609999999999997,0.8395584454861637
2024,strings,random,0.01,0.0036333333333333335,0.011866666666666666,0.008233333333333332,3.266055045871559
2024,strings,random,0.05,0.0219,0.053366666666666666,0.03146666666666667,2.436834094368341
2024,strings,random,0.1,0.042866666666666664,0.06706666666666666,0.0242,1.5645412130637637
